entity,label,pEntity,pLabel
http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,http://www.w3.org/2002/07/owl#Thing,
http://purl.obolibrary.org/obo/EUPATH_0000327,Entomological measurements,http://www.w3.org/2002/07/owl#Thing,
http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,http://www.w3.org/2002/07/owl#Thing,
http://purl.obolibrary.org/obo/EUPATH_0000738,Observation,http://www.w3.org/2002/07/owl#Thing,
http://purl.obolibrary.org/obo/PCO_0000024,Household,http://www.w3.org/2002/07/owl#Thing,
http://purl.obolibrary.org/obo/EUPATH_0000326,Sporozoite rate,http://purl.obolibrary.org/obo/EUPATH_0000312,Aggregated entomological measurement
http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000339,Animals
http://purl.obolibrary.org/obo/EUPATH_0010383,Anthropometry flag,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry
http://purl.obolibrary.org/obo/EUPATH_0010040,Antibiotic administered before stool collection?,http://purl.obolibrary.org/obo/EUPATH_0010001,Antibiotic administration
http://purl.obolibrary.org/obo/NCBITaxon_1496,Clostridium difficile,http://purl.obolibrary.org/obo/NCBITaxon_2,Bacteria
http://purl.obolibrary.org/obo/NCBITaxon_194,Campylobacter,http://purl.obolibrary.org/obo/NCBITaxon_2,Bacteria
http://purl.obolibrary.org/obo/NCBITaxon_210,Helicobacter pylori,http://purl.obolibrary.org/obo/NCBITaxon_2,Bacteria
http://purl.obolibrary.org/obo/NCBITaxon_562,E. coli,http://purl.obolibrary.org/obo/NCBITaxon_2,Bacteria
http://purl.obolibrary.org/obo/NCBITaxon_590,Salmonella,http://purl.obolibrary.org/obo/NCBITaxon_2,Bacteria
http://purl.obolibrary.org/obo/NCBITaxon_620,Shigella,http://purl.obolibrary.org/obo/NCBITaxon_2,Bacteria
http://purl.obolibrary.org/obo/NCBITaxon_630,Yersinia enterocolitica,http://purl.obolibrary.org/obo/NCBITaxon_2,Bacteria
http://purl.obolibrary.org/obo/NCBITaxon_642,Aeromonas,http://purl.obolibrary.org/obo/NCBITaxon_2,Bacteria
http://purl.obolibrary.org/obo/NCBITaxon_662,Vibrio,http://purl.obolibrary.org/obo/NCBITaxon_2,Bacteria
http://purl.obolibrary.org/obo/NCBITaxon_703,Plesiomonas shigelloides,http://purl.obolibrary.org/obo/NCBITaxon_2,Bacteria
http://purl.obolibrary.org/obo/NCBITaxon_817,Bacteroides fragilis,http://purl.obolibrary.org/obo/NCBITaxon_2,Bacteria
http://purl.obolibrary.org/obo/EUPATH_0011754,"Aeromonas, summary data",http://purl.obolibrary.org/obo/EUPATH_0011760,"Bacteria detection, summary data"
http://purl.obolibrary.org/obo/EUPATH_0011763,"Campylobacter, summary data",http://purl.obolibrary.org/obo/EUPATH_0011760,"Bacteria detection, summary data"
http://purl.obolibrary.org/obo/EUPATH_0011782,"Escherichia coli, summary data",http://purl.obolibrary.org/obo/EUPATH_0011760,"Bacteria detection, summary data"
http://purl.obolibrary.org/obo/EUPATH_0011811,"Plesiomonas shigelloides, summary data",http://purl.obolibrary.org/obo/EUPATH_0011760,"Bacteria detection, summary data"
http://purl.obolibrary.org/obo/EUPATH_0011815,"Salmonella, summary data",http://purl.obolibrary.org/obo/EUPATH_0011760,"Bacteria detection, summary data"
http://purl.obolibrary.org/obo/EUPATH_0011818,"Shigella, summary data",http://purl.obolibrary.org/obo/EUPATH_0011760,"Bacteria detection, summary data"
http://purl.obolibrary.org/obo/EUPATH_0011825,"Vibrio, summary data",http://purl.obolibrary.org/obo/EUPATH_0011760,"Bacteria detection, summary data"
http://purl.obolibrary.org/obo/EUPATH_0011835,"Yersinia enterocolitica, summary data",http://purl.obolibrary.org/obo/EUPATH_0011760,"Bacteria detection, summary data"
http://purl.obolibrary.org/obo/EUPATH_0011770,E. coli tests,http://purl.obolibrary.org/obo/EUPATH_0011761,Bacteriology
http://purl.obolibrary.org/obo/NCBITaxon_195,Campylobacter coli,http://purl.obolibrary.org/obo/NCBITaxon_194,Campylobacter
http://purl.obolibrary.org/obo/NCBITaxon_197,Campylobacter jejuni,http://purl.obolibrary.org/obo/NCBITaxon_194,Campylobacter
http://purl.obolibrary.org/obo/EUPATH_0010425,Moderate/severe diarrhea eligibility,http://purl.obolibrary.org/obo/EUPATH_0010036,Case eligibility criteria
http://purl.obolibrary.org/obo/EUPATH_0010023,Signs at enrollment,http://purl.obolibrary.org/obo/EUPATH_0010015,Clinical findings at enrollment
http://purl.obolibrary.org/obo/EUPATH_0010351,"Case, Symptoms at Enrollment",http://purl.obolibrary.org/obo/EUPATH_0010015,Clinical findings at enrollment
http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,http://purl.obolibrary.org/obo/EUPATH_0010015,Clinical findings at enrollment
http://purl.obolibrary.org/obo/EUPATH_0010357,"Case, Symptoms since illness began",http://purl.obolibrary.org/obo/EUPATH_0010015,Clinical findings at enrollment
http://purl.obolibrary.org/obo/EUPATH_0010030,Signs at follow-up,http://purl.obolibrary.org/obo/EUPATH_0010028,Clinical findings at follow-up
http://purl.obolibrary.org/obo/EUPATH_0010031,Illness since enrollment,http://purl.obolibrary.org/obo/EUPATH_0010028,Clinical findings at follow-up
http://purl.obolibrary.org/obo/EUPATH_0010393,Previous diagnosis,http://purl.obolibrary.org/obo/EUPATH_0010028,Clinical findings at follow-up
http://purl.obolibrary.org/obo/EUPATH_0000413,Fever treatment location,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history
http://purl.obolibrary.org/obo/EUPATH_0000427,Last malaria diagnosis (days),http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history
http://purl.obolibrary.org/obo/EUPATH_0011765,Complete testing of diarrheal stool samples,http://purl.obolibrary.org/obo/EUPATH_0011766,Complete testing of stool samples
http://purl.obolibrary.org/obo/EUPATH_0011852,Complete testing of monthly stool samples,http://purl.obolibrary.org/obo/EUPATH_0011766,Complete testing of stool samples
http://purl.obolibrary.org/obo/EUPATH_0010389,Control Child Medication at enrollment,http://purl.obolibrary.org/obo/EUPATH_0010022,"Control, Medication at enrollment"
http://purl.obolibrary.org/obo/EUPATH_0000671,Death information,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics
http://purl.obolibrary.org/obo/EUPATH_0000090,Malaria diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis
http://purl.obolibrary.org/obo/EUPATH_0010378,Diarrhea treatment before visit; Enrollment,http://purl.obolibrary.org/obo/EUPATH_0010016,Diarrheal episode
http://purl.obolibrary.org/obo/EUPATH_0010390,Diarrhea treatment given in health center,http://purl.obolibrary.org/obo/EUPATH_0010016,Diarrheal episode
http://purl.obolibrary.org/obo/EUPATH_0010391,Diarrhea treatment by prescription at home,http://purl.obolibrary.org/obo/EUPATH_0010016,Diarrheal episode
http://purl.obolibrary.org/obo/EUPATH_0011750,Diarrheal episode severity,http://purl.obolibrary.org/obo/EUPATH_0010016,Diarrheal episode
http://purl.obolibrary.org/obo/EUPATH_0011740,Total daily consumption,http://purl.obolibrary.org/obo/EUPATH_0011732,Diet
http://purl.obolibrary.org/obo/EUPATH_0011813,Phytate ratios,http://purl.obolibrary.org/obo/EUPATH_0011732,Diet
http://purl.obolibrary.org/obo/FOODON_03412974,Liquid foods,http://purl.obolibrary.org/obo/EUPATH_0011732,Diet
http://purl.obolibrary.org/obo/FOODON_03430151,Solid foods,http://purl.obolibrary.org/obo/EUPATH_0011732,Diet
http://purl.obolibrary.org/obo/EUPATH_0010398,Chlorine treatment brand,http://purl.obolibrary.org/obo/EUPATH_0010108,Drinking water treatment
http://purl.obolibrary.org/obo/EUPATH_0010401,Water treatment materials,http://purl.obolibrary.org/obo/EUPATH_0010108,Drinking water treatment
http://purl.obolibrary.org/obo/EUPATH_0000001,Building material,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics
http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics
http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment
http://purl.obolibrary.org/obo/EUPATH_0000023,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities
http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities
http://purl.obolibrary.org/obo/EUPATH_0000731,Water information,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities
http://purl.obolibrary.org/obo/EUPATH_0021093,Water source,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities
http://purl.obolibrary.org/obo/EUPATH_0011831,"Virulence factor genes aatA and aaiC , summary data",http://purl.obolibrary.org/obo/EUPATH_0011773,"Enteroaggressive E. coli (EAEC), summary data"
http://purl.obolibrary.org/obo/EUPATH_0011828,"Virulence factor gene ipaH, summary data",http://purl.obolibrary.org/obo/EUPATH_0011776,"Enteroinvasive E. coli (EIEC), summary data"
http://purl.obolibrary.org/obo/EUPATH_0011826,"Virulence factor gene bfpA, summary data",http://purl.obolibrary.org/obo/EUPATH_0011778,"Enteropathogenic E. coli (EPEC), summary data"
http://purl.obolibrary.org/obo/EUPATH_0011827,"Virulence factor gene eae, summary data",http://purl.obolibrary.org/obo/EUPATH_0011778,"Enteropathogenic E. coli (EPEC), summary data"
http://purl.obolibrary.org/obo/EUPATH_0011788,"Heat-labile enterotoxin (LT), summary data",http://purl.obolibrary.org/obo/EUPATH_0011780,"Enterotoxogenic E. coli (ETEC), summary data"
http://purl.obolibrary.org/obo/EUPATH_0011789,"Heat-stable enterotoxin (ST), summary data",http://purl.obolibrary.org/obo/EUPATH_0011780,"Enterotoxogenic E. coli (ETEC), summary data"
http://purl.obolibrary.org/obo/EUPATH_0000312,Aggregated entomological measurement,http://purl.obolibrary.org/obo/EUPATH_0000327,Entomological measurements
http://purl.obolibrary.org/obo/EUPATH_0000313,Individual entomological measurement,http://purl.obolibrary.org/obo/EUPATH_0000327,Entomological measurements
http://purl.obolibrary.org/obo/EUPATH_0011773,"Enteroaggressive E. coli (EAEC), summary data",http://purl.obolibrary.org/obo/EUPATH_0011782,"Escherichia coli, summary data"
http://purl.obolibrary.org/obo/EUPATH_0011776,"Enteroinvasive E. coli (EIEC), summary data",http://purl.obolibrary.org/obo/EUPATH_0011782,"Escherichia coli, summary data"
http://purl.obolibrary.org/obo/EUPATH_0011778,"Enteropathogenic E. coli (EPEC), summary data",http://purl.obolibrary.org/obo/EUPATH_0011782,"Escherichia coli, summary data"
http://purl.obolibrary.org/obo/EUPATH_0011780,"Enterotoxogenic E. coli (ETEC), summary data",http://purl.obolibrary.org/obo/EUPATH_0011782,"Escherichia coli, summary data"
http://purl.obolibrary.org/obo/EUPATH_0011816,"Shigatoxin-producing E. coli (STEC), summary data",http://purl.obolibrary.org/obo/EUPATH_0011782,"Escherichia coli, summary data"
http://purl.obolibrary.org/obo/NCBITaxon_102285,Hymenolepis nana,http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota
http://purl.obolibrary.org/obo/NCBITaxon_110766,Entamoeba coli,http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota
http://purl.obolibrary.org/obo/NCBITaxon_110788,Endolimax nana,http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota
http://purl.obolibrary.org/obo/NCBITaxon_33277,Ancylostomatoidea,http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota
http://purl.obolibrary.org/obo/NCBITaxon_36087,Trichuris trichiura,http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota
http://purl.obolibrary.org/obo/NCBITaxon_44417,Cyclospora,http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota
http://purl.obolibrary.org/obo/NCBITaxon_472572,Chilomastix mesnili,http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota
http://purl.obolibrary.org/obo/NCBITaxon_51022,Ancylostoma duodenale,http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota
http://purl.obolibrary.org/obo/NCBITaxon_51028,Enterobius vermicularis,http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota
http://purl.obolibrary.org/obo/NCBITaxon_51031,Necator americanus,http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota
http://purl.obolibrary.org/obo/NCBITaxon_56625,Isospora,http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota
http://purl.obolibrary.org/obo/NCBITaxon_5740,Giardia,http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota
http://purl.obolibrary.org/obo/NCBITaxon_5759,Entamoeba histolytica,http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota
http://purl.obolibrary.org/obo/NCBITaxon_5806,Cryptosporidium,http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota
http://purl.obolibrary.org/obo/NCBITaxon_6181,Schistosoma,http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota
http://purl.obolibrary.org/obo/NCBITaxon_6202,Taenia,http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota
http://purl.obolibrary.org/obo/NCBITaxon_6216,Hymenolepis diminuta,http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota
http://purl.obolibrary.org/obo/NCBITaxon_6248,Strongyloides stercoralis,http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota
http://purl.obolibrary.org/obo/NCBITaxon_6252,Ascaris lumbricoides,http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota
http://purl.obolibrary.org/obo/NCBITaxon_71585,Balantidium coli,http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota
http://purl.obolibrary.org/obo/EUPATH_0010009,Expenses of hospitalization clinical visits,http://purl.obolibrary.org/obo/EUPATH_0010008,Expenses current care
http://purl.obolibrary.org/obo/EUPATH_0010010,Caretaker income lost; Enrollment,http://purl.obolibrary.org/obo/EUPATH_0010008,Expenses current care
http://purl.obolibrary.org/obo/EUPATH_0010012,Transportation to clinic,http://purl.obolibrary.org/obo/EUPATH_0010008,Expenses current care
http://purl.obolibrary.org/obo/EUPATH_0010011,Money source for expenses of hospitalization or clinical visits,http://purl.obolibrary.org/obo/EUPATH_0010009,Expenses of hospitalization clinical visits
http://purl.obolibrary.org/obo/EUPATH_0010007,Medication Transportation Expense,http://purl.obolibrary.org/obo/EUPATH_0010006,Expenses of previously sought care
http://purl.obolibrary.org/obo/EUPATH_0010379,Money source for expenses before visit,http://purl.obolibrary.org/obo/EUPATH_0010006,Expenses of previously sought care
http://purl.obolibrary.org/obo/EUPATH_0011808,Norovirus tests,http://purl.obolibrary.org/obo/EUPATH_0011785,Fecal viral tests
http://purl.obolibrary.org/obo/EUPATH_0011191,Weaning,http://purl.obolibrary.org/obo/EUPATH_0000678,Feeding
http://purl.obolibrary.org/obo/EUPATH_0011690,Breastfeeding summary,http://purl.obolibrary.org/obo/EUPATH_0000678,Feeding
http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,http://purl.obolibrary.org/obo/PCO_0000024,Household
http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,http://purl.obolibrary.org/obo/PCO_0000024,Household
http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,http://purl.obolibrary.org/obo/PCO_0000024,Household
http://purl.obolibrary.org/obo/EUPATH_0000339,Animals,http://purl.obolibrary.org/obo/PCO_0000024,Household
http://purl.obolibrary.org/obo/EUPATH_0000341,Vector information,http://purl.obolibrary.org/obo/PCO_0000024,Household
http://purl.obolibrary.org/obo/EUPATH_0000341,Vector intervention,http://purl.obolibrary.org/obo/PCO_0000024,Household
http://purl.obolibrary.org/obo/EUPATH_0000440,Resident status,http://purl.obolibrary.org/obo/PCO_0000024,Household
http://purl.obolibrary.org/obo/EUPATH_0000686,Hygiene,http://purl.obolibrary.org/obo/PCO_0000024,Household
