entity,Num_datasets,labels,PARENT,direct_parent,category,termType
http://purl.obolibrary.org/obo/EUPATH_0000649,18,Anthropometry,Anthropometry,Observation,observation,category
http://purl.obolibrary.org/obo/EUPATH_0000732,18,Weight (kg),Anthropometry,Anthropometry,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0010075,14,Height (cm),Anthropometry,Anthropometry,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0010084,5,MUAC (cm),Anthropometry,Anthropometry,observation,variable | derived
http://purl.obolibrary.org/obo/EUPATH_0000733,5,Weight-for-age z-score,Anthropometry,Anthropometry,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0000662,4,BMI-for-age z-score,Anthropometry,Anthropometry,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0010070,4,Caretaker plus participant weight (kg),Anthropometry,Anthropometry,observation,variable | derived
http://purl.obolibrary.org/obo/EUPATH_0010071,4,Caretaker weight (kg),Anthropometry,Anthropometry,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0015710,4,Length- or height-for-age z-score,Anthropometry,Anthropometry,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0000734,4,Weight-for-length or -height z-score,Anthropometry,Anthropometry,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0010383,3,Anthropometry flag,Anthropometry,Anthropometry,observation,multifilter
http://purl.obolibrary.org/obo/EUPATH_0000661,3,BMI (kg/m2),Anthropometry,Anthropometry,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0010076,3,"Height (cm), 2nd",Anthropometry,Anthropometry,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0010077,3,"Height (cm), 3rd",Anthropometry,Anthropometry,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0010085,3,"MUAC (cm), 2nd",Anthropometry,Anthropometry,observation,variable | derived
http://purl.obolibrary.org/obo/EUPATH_0010086,3,"MUAC (cm), 3rd",Anthropometry,Anthropometry,observation,variable | derived
http://purl.obolibrary.org/obo/EUPATH_0000710,3,MUAC-for-age z-score,Anthropometry,Anthropometry,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0010093,2,"BMI, using median length or height",Anthropometry,Anthropometry,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0015128,2,BMI-for-age z-score below -5 or above 5,Anthropometry,Anthropometry flag,observation,value
http://purl.obolibrary.org/obo/EUPATH_0015129,2,"BMI-for-age z-score below -5 or above 5, using median length or height",Anthropometry,Anthropometry flag,observation,value
