entity,Num_datasets,labels,PARENT,direct_parent,category,termType
http://purl.obolibrary.org/obo/OGMS_0000056,27,Laboratory test,Laboratory test,Sample,sample,category
http://purl.obolibrary.org/obo/EUPATH_0033307,16,Eukaryota in blood,Laboratory test,Blood microbiology test,sample,category | multifilter
http://purl.obolibrary.org/obo/EUPATH_0033308,16,Plasmodium in blood,Laboratory test,Eukaryota in blood,sample,category | multifilter category
http://purl.obolibrary.org/obo/EUPATH_0011795,15,Blood test,Laboratory test,Laboratory test,sample,category
http://purl.obolibrary.org/obo/EUPATH_0020005,14,Blood microbiology test,Laboratory test,Laboratory test,sample | observation,category
http://purl.obolibrary.org/obo/EUPATH_0000047,12,Hemoglobin (g/dL),Laboratory test,Blood test,sample | observation,variable
http://purl.obolibrary.org/obo/EUPATH_0021130,9,Blood eukaryote testing,Laboratory test,Blood microbiology tests procedures,sample,category
http://purl.obolibrary.org/obo/EUPATH_0020125,9,Blood microbiology tests procedures,Laboratory test,Blood microbiology test,sample,category
http://purl.obolibrary.org/obo/EUPATH_0000423,9,"Plasmodium species, by microscopy",Laboratory test,Plasmodium in blood,sample,variable | multifilter
http://purl.obolibrary.org/obo/EUPATH_0000724,8,Stool microbiology test,Laboratory test,Laboratory test,sample,category
http://purl.obolibrary.org/obo/EUPATH_0030117,7,Eukaryota in stool,Laboratory test,Stool microbiology test,sample,"category | multifilter | category, multifilter"
http://purl.obolibrary.org/obo/EUPATH_0000433,7,"Plasmodium species, by qPCR",Laboratory test,Plasmodium in blood,sample,variable | multifilter
http://purl.obolibrary.org/obo/EUPATH_0011985,5,Astrovirus in stool,Laboratory test,Virus in stool,sample,"category | category, value"
http://purl.obolibrary.org/obo/EUPATH_0011967,5,Bacteria in stool,Laboratory test,Stool microbiology test,sample,"category | multifilter | category, multifilter"
http://purl.obolibrary.org/obo/EUPATH_0011971,5,Cryptosporidium in stool,Laboratory test,Eukaryota in stool,sample,"category | multifilter category | category, value"
http://purl.obolibrary.org/obo/EUPATH_0011974,5,Entamoeba in stool,Laboratory test,Eukaryota in stool,sample,"category | multifilter category | category, value"
http://purl.obolibrary.org/obo/EUPATH_0011976,5,Escherichia in stool,Laboratory test,Bacteria in stool,sample,"category | multifilter category | category, value"
