entity,Num_datasets,labels,PARENT,direct_parent,category,termType
http://purl.obolibrary.org/obo/EUPATH_0000309,23,Signs and symptoms,Signs and symptoms,Observation,observation,category
http://purl.obolibrary.org/obo/EUPATH_0021002,15,Symptoms,Signs and symptoms,Signs and symptoms,observation,category | multifilter
http://purl.obolibrary.org/obo/SYMP_0000614,9,Cough,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/HP_0002315,9,Headache,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/DOID_13250,8,Diarrhea,Signs and symptoms,Symptoms,observation,value | variable
http://purl.obolibrary.org/obo/HP_0002013,8,Vomiting,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/HP_0002027,7,Abdominal pain,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/SYMP_0000523,7,Anorexia,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/SYMP_0019174,6,Chills,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/SYMP_0019177,6,Fatigue,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/EUPATH_0000100,6,Subjective fever,Signs and symptoms,Symptoms,observation,value | variable
http://purl.obolibrary.org/obo/SYMP_0000099,5,Aches or pains,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/SYMP_0000610,5,Dizziness,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/HP_0000952,5,Jaundice,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/DOID_0050486,5,Rash,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/HP_0001744,5,Splenomegaly,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/EUPATH_0015117,4,Bipedal edema,Signs and symptoms,Signs and symptoms | Symptoms,observation,value | variable
http://purl.obolibrary.org/obo/HP_0100749,4,Chest pain,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/HP_0030766,4,Ear pain,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/EUPATH_0015185,4,Fever during last 7 days,Signs and symptoms,Symptoms in the last 7 days,observation,value | variable
http://purl.obolibrary.org/obo/HP_0003419,4,Lower back pain,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/EUPATH_0020002,4,Other medical complaint,Signs and symptoms,Signs and symptoms | Symptoms,observation,value | variable
http://purl.obolibrary.org/obo/HP_0000980,4,Paleness,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/HP_0000975,4,Sweating,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/EUPATH_0011878,4,Symptoms by caregiver report,Signs and symptoms,Signs and symptoms,observation,category | multifilter
http://purl.obolibrary.org/obo/EUPATH_0010356,4,Symptoms in the last 7 days,Signs and symptoms,Signs and symptoms,observation,category | variable | multifilter
http://purl.obolibrary.org/obo/EUPATH_0015706,3,Abdominal pain,Signs and symptoms,Symptoms since illness began,observation,value
http://purl.obolibrary.org/obo/EUPATH_0015118,3,Abnormal hair,Signs and symptoms,Signs and symptoms,observation,variable
http://purl.bioontology.org/ontology/SNOMEDCT/40541001,3,Acute pulmonary edema,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/EUPATH_0021089,3,Any symptoms,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/EUPATH_0015059,3,Blood in stools,Signs and symptoms,Symptoms since illness began,observation,value
http://purl.obolibrary.org/obo/EUPATH_0015184,3,Blood in stools during last 7 days,Signs and symptoms,Symptoms in the last 7 days,observation,value | variable
http://purl.obolibrary.org/obo/EUPATH_0015115,3,Chest indrawing,Signs and symptoms,Signs and symptoms,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0015073,3,Convulsion,Signs and symptoms,Symptoms since illness began,observation,value
http://purl.obolibrary.org/obo/EUPATH_0015707,3,Cough,Signs and symptoms,Symptoms since illness began,observation,value
http://purl.obolibrary.org/obo/EUPATH_0015674,3,Days vomiting,Signs and symptoms,Signs and symptoms,observation,value | variable
http://purl.obolibrary.org/obo/EUPATH_0015067,3,Decreased activity or lethargy,Signs and symptoms,Symptoms since illness began,observation,value
http://purl.obolibrary.org/obo/EUPATH_0000157,3,Diarrhea duration (days),Signs and symptoms,Signs and symptoms,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0015072,3,Difficulty breathing,Signs and symptoms,Symptoms since illness began,observation,value
http://purl.obolibrary.org/obo/EUPATH_0015062,3,Drank much less than usual,Signs and symptoms,Symptoms since illness began,observation,value
http://purl.obolibrary.org/obo/EUPATH_0015075,3,Drinks poorly,Signs and symptoms,Symptoms at enrollment,observation,value
http://purl.obolibrary.org/obo/EUPATH_0010292,3,Dry mouth,Signs and symptoms,Signs and symptoms,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0015080,3,Dry mouth,Signs and symptoms,Symptoms at enrollment,observation,value
http://purl.bioontology.org/ontology/MEDDRA/10015958,3,Eye pain,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/EUPATH_0015081,3,Fast breathing,Signs and symptoms,Symptoms at enrollment,observation,value
http://purl.obolibrary.org/obo/EUPATH_0000097,3,Febrile,Signs and symptoms,Symptoms,observation,value | variable
http://purl.obolibrary.org/obo/EUPATH_0021090,3,Fever in last 48hrs,Signs and symptoms,Signs and symptoms,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0000164,3,"Fever, subjective duration (days)",Signs and symptoms,Signs and symptoms,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0000159,3,Headache duration (days),Signs and symptoms,Signs and symptoms,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0015078,3,Irritable or restless,Signs and symptoms,Symptoms at enrollment,observation,value
http://purl.obolibrary.org/obo/EUPATH_0015066,3,Irritable or restless,Signs and symptoms,Symptoms since illness began,observation,value
http://purl.obolibrary.org/obo/EUPATH_0015079,3,Lethargy or loss of consciousness,Signs and symptoms,Symptoms at enrollment,observation,value
http://purl.obolibrary.org/obo/EUPATH_0015068,3,Loss of consciousness,Signs and symptoms,Symptoms since illness began,observation,value
http://purl.obolibrary.org/obo/EUPATH_0010294,3,Mental status,Signs and symptoms,Signs and symptoms,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0015116,3,Rectal prolapse,Signs and symptoms,Signs and symptoms,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0015070,3,Rectal prolapse,Signs and symptoms,Symptoms since illness began,observation,value
http://purl.obolibrary.org/obo/EUPATH_0015069,3,Rectal straining,Signs and symptoms,Symptoms since illness began,observation,value
http://purl.obolibrary.org/obo/EUPATH_0015120,3,Skin has 'flaky paint' appearance,Signs and symptoms,Signs and symptoms,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0010293,3,Skin pinch,Signs and symptoms,Signs and symptoms,observation,variable
http://purl.obolibrary.org/obo/SYMP_0000007,3,Spontaneous bleeding,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/EUPATH_0010291,3,Sunken eyes,Signs and symptoms,Signs and symptoms,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0015076,3,Sunken eyes,Signs and symptoms,Symptoms at enrollment,observation,value
http://purl.obolibrary.org/obo/EUPATH_0010351,3,Symptoms at enrollment,Signs and symptoms,Signs and symptoms,observation,variable | multifilter
http://purl.obolibrary.org/obo/EUPATH_0010357,3,Symptoms since illness began,Signs and symptoms,Signs and symptoms,observation,multifilter
http://purl.obolibrary.org/obo/EUPATH_0015684,3,Symptoms since illness began or during diarrhea,Signs and symptoms,Signs and symptoms,observation,variable | multifilter
http://purl.obolibrary.org/obo/EUPATH_0015063,3,Unable to drink,Signs and symptoms,Symptoms since illness began,observation,value
http://purl.obolibrary.org/obo/EUPATH_0015119,3,Undernutrition,Signs and symptoms,Signs and symptoms,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0015074,3,Very thirsty,Signs and symptoms,Symptoms at enrollment,observation,value
http://purl.obolibrary.org/obo/EUPATH_0015061,3,Very thirsty,Signs and symptoms,Symptoms since illness began,observation,value
http://purl.obolibrary.org/obo/EUPATH_0015186,3,Vomiting 3 or more times per day,Signs and symptoms,Symptoms in the last 7 days,observation,value | variable
http://purl.obolibrary.org/obo/EUPATH_0000165,3,Vomiting duration (days),Signs and symptoms,Signs and symptoms,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0015675,3,Worst day vomiting frequency during diarrheal illness,Signs and symptoms,Signs and symptoms,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0015077,3,Wrinkled skin,Signs and symptoms,Symptoms at enrollment,observation,value
http://purl.obolibrary.org/obo/EUPATH_0000154,2,Abdominal pain duration (days),Signs and symptoms,Signs and symptoms,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0023003,2,Altered consciousness,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/EUPATH_0000155,2,Anorexia duration (days),Signs and symptoms,Signs and symptoms,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0021088,2,Any signs,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/EUPATH_0024212,2,Blood in stool,Signs and symptoms,Signs and symptoms,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0010534,2,"Blood in stool, caregiver report",Signs and symptoms,Symptoms by caregiver report,observation,value | variable
http://purl.obolibrary.org/obo/EUPATH_0015685,2,Blood in stools,Signs and symptoms,Symptoms since illness began or during diarrhea,,value
http://purl.bioontology.org/ontology/SNOMEDCT/371632003,2,Coma,Signs and symptoms,Symptoms,observation,value
http://purl.obolibrary.org/obo/EUPATH_0000156,2,Cough duration (days),Signs and symptoms,Signs and symptoms,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0010538,2,"Cough, caregiver report",Signs and symptoms,Symptoms by caregiver report,observation,value | variable
http://purl.obolibrary.org/obo/EUPATH_0015686,2,Decreased activity or lethargy,Signs and symptoms,Symptoms since illness began or during diarrhea,,value
http://purl.obolibrary.org/obo/EUPATH_0031110,2,Dehydration severity,Signs and symptoms,Signs and symptoms,observation,variable
