IRI,label,dataSet,mergeKey,is_temporal,hidden
http://purl.obolibrary.org/obo/EUPATH_0043203,GEOHASH 1,,,,everywhere
http://purl.obolibrary.org/obo/EUPATH_0043204,GEOHASH 2,,,,everywhere
http://purl.obolibrary.org/obo/EUPATH_0043205,GEOHASH 3,,,,everywhere
http://purl.obolibrary.org/obo/EUPATH_0043206,GEOHASH 4,,,,everywhere
http://purl.obolibrary.org/obo/EUPATH_0043207,GEOHASH 5,,,,everywhere
http://purl.obolibrary.org/obo/EUPATH_0043208,GEOHASH 6,,,,everywhere
http://purl.bioontology.org/ontology/SNOMEDCT/224619008,Migrant,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022070,Clear new land plot,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022071,Hospitalization year,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022072,"Hospitalization year, 2",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022073,"Hospitalization year, 3",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022074,Hospitalization city,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022075,"Hospitalization city, 2",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022076,"Hospitalization city, 3",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022077,Expelled worms after taking medicine in last 6 months,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022078,Expelled worms in last 6 months,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022079,Plasmodium species for last malaria diagnosis,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022080,Hospitalized ever,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022081,Malaria in state lived in previously,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022082,"Malaria in state lived in previously, 2nd",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022083,"Malaria in state lived in previously, 3rd",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022084,"Malaria in state lived in previously, 4th",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022085,"Malaria in state lived in previously, 5th",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022086,Plasmodium falciparum malaria,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022087,Plasmodium vivax malaria,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022088,Hospitalization reason,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022089,"Hospitalization reason, 2",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022090,"Hospitalization reason, 3",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022091,Other medical history,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022092,Medicine frequency,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022093,"Medicine frequency, 2",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022094,Lifetime malaria diagnoses count,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022095,Medicine,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022096,"Medicine, 2",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022097,Condition requiring medicine,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022098,"Condition requiring medicine, 2",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022099,Took medicine for worms in last 6 months,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022100,Take medicine regularly,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022103,Total education,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022104,Literacy level,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022105,School year,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022106,Asthma or bronchitis,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022107,Dengue,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022109,Hanseniasis,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022110,Hepatitis,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022112,Malaria,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022113,Leishmaniasis,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022114,Bed count,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022115,Bedroom enclosement,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022116,Occupation location,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022117,Occupation 2 location,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022118,"Parasites, by microscopy",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022119,"Parasite species, by microscopy",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022120,Bedroom characteristics,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022121,Received ITN,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022122,When received ITN,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022123,Malaria thick blood smear date,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022124,"Malaria since last observation date, from medical record",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022125,Malaria since last observation date,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022126,Malaria since last observation date 2,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022127,Malaria since last observation date 3,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022128,Treatment for other condition ongoing,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022129,"Malaria since last observation, from medical record",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022130,Malaria since last observation,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022131,Tried to treat malaria in last 30 days,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022132,Other malaria treatment type in last 30 days,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022133,Malaria medication in last 30 days,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022134,Other home treatment,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022135,Malaria treatment end date,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022136,Other malaria treatment in last 30 days,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022137,"Plasmodium species causing malaria since last observation, from medical record",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022138,Plasmodium species causing malaria since last observation,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022139,Plasmodium species causing malaria since last observation 2,Amazonia ICEMR Brazil Cohort,,,
