sid,label,parent_entity,parent_label,project,new_label
BFO_0000015,Observation type,http://purl.obolibrary.org/obo/EUPATH_0000738,Observation,gates_gems,
BFO_0000015,Observation type,http://purl.obolibrary.org/obo/EUPATH_0000738,Observation,gates_gems1a,
CHEBI_3638,Chloroquine,http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial medications used,icemr_indian,
CHEBI_63609,Mefloquine,http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial medications used,icemr_indian,
CHEBI_8405,Primaquine,http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial medications used,icemr_indian,
CMO_0000027,White blood cell count (per mm3),http://purl.obolibrary.org/obo/EUPATH_0011795,Blood test,icemr_southAsia,
CMO_0000289,Respiration rate (breaths/min),http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,icemr_southAsia,
DOID_0050486,Rash,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,icemr_amazoniaPeru_long,
DOID_0050486,Rash,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,icemr_indian,
DOID_1074,Renal failure,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,icemr_indian,
DOID_13250,Diarrhea,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,icemr_amazoniaPeru_long,
DOID_13250,Diarrhea,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,icemr_indian,
DOID_13250,Diarrhea,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,icemr_prism,
EFO_0004309,Platelet count (per uL blood),http://purl.obolibrary.org/obo/EUPATH_0011795,Blood test,icemr_southAsia,
EFO_0004326,Heart rate (beats/min),http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,icemr_southAsia,
EFO_0004348,Hematocrit (%),http://purl.obolibrary.org/obo/EUPATH_0011795,Blood test,icemr_southAsia,
EFO_0004950,Birth date,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,gates_maled,
EFO_0004950,Date of birth,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,gates_gems,
EFO_0004950,Date of birth,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,gates_gems1a,
EFO_0004950,Date of birth,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,icemr_amazoniaPeru_long,
EFO_0004950,Date of birth,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,icemr_prism,
ENVO_00000501,Bed,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_maled,
ENVO_00000501,Bed,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_amazoniaPeru_long,
ENVO_00000501,Bed,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism,
ENVO_00003064,Drinking water source,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,gates_gems,
ENVO_00003064,Drinking water source,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,gates_gems1a,
ENVO_00003064,Drinking water source,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,gates_maled,
ENVO_00003064,Drinking water source,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,icemr_prism,
ENVO_01000577,Radio,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems,
ENVO_01000577,Radio,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems1a,
ENVO_01000577,Radio,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_amazoniaPeru_long,
ENVO_01000577,Radio,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism,
ENVO_01000578,Cassette player,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism,
ENVO_01000579,Television,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems,
ENVO_01000579,Television,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems1a,
ENVO_01000579,Television,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_maled,
ENVO_01000579,Television,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism,
ENVO_01000580,Telephone (mobile or non-mobile),http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems,
ENVO_01000580,Telephone (mobile or non-mobile),http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems1a,
ENVO_01000580,Telephone (mobile or non-mobile),http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_amazoniaPeru_long,
ENVO_01000581,Mobile phone,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism,
ENVO_01000582,Landline phone,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism,
ENVO_01000583,Refrigerator,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems,
ENVO_01000583,Refrigerator,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems1a,
ENVO_01000583,Refrigerator,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_maled,
ENVO_01000583,Refrigerator,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_amazoniaPeru_long,
ENVO_01000583,Refrigerator,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism,
ENVO_01000584,Table,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_maled,
ENVO_01000584,Table,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_amazoniaPeru_long,
ENVO_01000584,Table,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism,
ENVO_01000586,Chair,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_maled,
ENVO_01000586,Chair,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_amazoniaPeru_long,
ENVO_01000586,Chair,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism,
ENVO_01000588,Sofa,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_amazoniaPeru_long,
ENVO_01000588,Sofa,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism,
ENVO_01000594,Cabinet,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_amazoniaPeru_long,
ENVO_01000595,Closet,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_amazoniaPeru_long,
ENVO_01000595,Cupboard,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism,
ENVO_01000596,Clock,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism,
ENVO_01000614,Bicycle,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism,
ENVO_01000615,Motorcycle/Scooter,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems,
ENVO_01000615,Motorcycle/Scooter,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems1a,
ENVO_01000615,Motorcycle/Scooter,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism,
ENVO_01000744,Dwelling type,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,icemr_indian,
ENVO_01000744,Dwelling type,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,icemr_prism,
EUPATH_0000001,Building material,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,icemr_indian,
EUPATH_0000003,Roof material,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,gates_maled,
EUPATH_0000003,Roof material,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,icemr_amazoniaPeru_long,
EUPATH_0000003,Roof material,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,icemr_indian,
EUPATH_0000003,Roof material,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,icemr_prism,
EUPATH_0000006,Floor material,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,gates_gems,
EUPATH_0000006,Floor material,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,gates_gems1a,
EUPATH_0000006,Floor material,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,gates_maled,
EUPATH_0000006,Floor material,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,icemr_amazoniaPeru_long,
EUPATH_0000006,Floor material,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,icemr_prism,
EUPATH_0000009,Wall material,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,gates_maled,
EUPATH_0000009,Wall material,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,icemr_prism,
EUPATH_0000014,"Household wealth index, numerical",http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,gates_gems,
EUPATH_0000014,"Household wealth index, numerical",http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,gates_gems1a,
EUPATH_0000014,"Household wealth index, numerical",http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,icemr_prism,
EUPATH_0000014,Household wealth score,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,gates_maled,
EUPATH_0000015,Eaves,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,icemr_prism,
EUPATH_0000018,Air bricks,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,icemr_prism,
EUPATH_0000019,Residents in dwelling,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,icemr_indian,
EUPATH_0000019,Residents in dwelling,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,icemr_prism,
EUPATH_0000023,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,gates_gems,
