unitIRI,unitLabel
http://purl.obolibrary.org/obo/EUPATH_0009998,cm/year
http://purl.obolibrary.org/obo/EUPATH_0009999,kg/year
http://purl.obolibrary.org/obo/EUPATH_0015721,Ct value
http://purl.obolibrary.org/obo/EUPATH_0020269,km
http://purl.obolibrary.org/obo/EUPATH_0022271,sols
http://purl.obolibrary.org/obo/EUPATH_0022272,/rxn
http://purl.obolibrary.org/obo/EUPATH_0022459,hours/day
http://purl.obolibrary.org/obo/EUPATH_0023059,x10^3/uL
http://purl.obolibrary.org/obo/EUPATH_0024232,/500 WBC
http://purl.obolibrary.org/obo/EUPATH_0030168,eggs per 10 ml
http://purl.obolibrary.org/obo/EUPATH_0030176,eggs per gram
http://purl.obolibrary.org/obo/EUPATH_0036573,nmol/L
http://purl.obolibrary.org/obo/EUPATH_0036574,mg/g
http://purl.obolibrary.org/obo/EUPATH_0036575,ug/g
http://purl.obolibrary.org/obo/EUPATH_0036576,EU/mL
http://purl.obolibrary.org/obo/EUPATH_0036577,GMU/mL
http://purl.obolibrary.org/obo/EUPATH_0042402,per person year
http://purl.obolibrary.org/obo/EUPATH_0049454,TZS
http://purl.obolibrary.org/obo/EUPATH_0050013,person-day
http://purl.obolibrary.org/obo/EUPATH_0053215,person-year
http://purl.obolibrary.org/obo/EUPATH_0060140,IU/uL
http://purl.obolibrary.org/obo/NCIT_C103452,/mL
http://purl.obolibrary.org/obo/NCIT_C173109,USD
http://purl.obolibrary.org/obo/NCIT_C49673,bpm
http://purl.obolibrary.org/obo/NCIT_C49674,breaths/min
http://purl.obolibrary.org/obo/NCIT_C64387,mmol/L
http://purl.obolibrary.org/obo/NCIT_C67015,mg/dL
http://purl.obolibrary.org/obo/NCIT_C67305,ug/dL
http://purl.obolibrary.org/obo/NCIT_C67327,pg/mL
http://purl.obolibrary.org/obo/NCIT_C67376,IU/L
http://purl.obolibrary.org/obo/NCIT_C67388,L/min
http://purl.obolibrary.org/obo/NCIT_C67419,mm/hr
http://purl.obolibrary.org/obo/NCIT_C67474,mEq/L
http://purl.obolibrary.org/obo/NCIT_C68864,sq km
http://purl.obolibrary.org/obo/NCIT_C74924,/year
http://purl.obolibrary.org/obo/UO_0000008,m
http://purl.obolibrary.org/obo/UO_0000009,kg
http://purl.obolibrary.org/obo/UO_0000010,sec
http://purl.obolibrary.org/obo/UO_0000015,cm
http://purl.obolibrary.org/obo/UO_0000016,mm
http://purl.obolibrary.org/obo/UO_0000021,g
http://purl.obolibrary.org/obo/UO_0000022,mg
http://purl.obolibrary.org/obo/UO_0000027,C
http://purl.obolibrary.org/obo/UO_0000028,ms
http://purl.obolibrary.org/obo/UO_0000031,min
http://purl.obolibrary.org/obo/UO_0000032,hours
http://purl.obolibrary.org/obo/UO_0000033,days
http://purl.obolibrary.org/obo/UO_0000034,weeks
http://purl.obolibrary.org/obo/UO_0000035,months
http://purl.obolibrary.org/obo/UO_0000036,years
http://purl.obolibrary.org/obo/UO_0000039,ug
http://purl.obolibrary.org/obo/UO_0000080,m2
http://purl.obolibrary.org/obo/UO_0000086,kg/m2
http://purl.obolibrary.org/obo/UO_0000098,mL
http://purl.obolibrary.org/obo/UO_0000099,L
http://purl.obolibrary.org/obo/UO_0000169,ppm
http://purl.obolibrary.org/obo/UO_0000178,U/mL
http://purl.obolibrary.org/obo/UO_0000179,U/L
http://purl.obolibrary.org/obo/UO_0000185,degrees
http://purl.obolibrary.org/obo/UO_0000195,F
http://purl.obolibrary.org/obo/UO_0000208,g/dL
http://purl.obolibrary.org/obo/UO_0000272,mmHg
http://purl.obolibrary.org/obo/UO_0000273,mg/L
http://purl.obolibrary.org/obo/UO_0000274,ug/mL
http://purl.obolibrary.org/obo/UO_0000275,ng/mL
http://purl.obolibrary.org/obo/UO_0000301,ug/L
http://purl.obolibrary.org/obo/UO_0000316,/uL
http://purl.obolibrary.org/obo/UO_0010003,umol/L
http://purl.obolibrary.org/obo/UO_0010051,Kcal
http://www.ebi.ac.uk/efo/EFO_0002928,IU/mL
http://purl.obolibrary.org/obo/NCIT_C122207,IU/g Hb
