IRI,label,variable,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,dataSet
http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,,elicit_data_for_plos_reshaped_v3,,Community,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,,,category,WASH Benefits Kenya Cluster Randomized Trial | PROVIDE Randomized Controlled Trial | PRISM ICEMR Cohort | India ICEMR Meghalaya Cohort | ELICIT | PRISM2 ICEMR Border Cohort | MAL-ED 0-60m Cohort | SW PACIFIC | VIDA Case Control | GEMS1 Case Control | LLINE UP Cluster Randomized Trial | PROMOTE BC3 Cohort | India ICEMR Behavior Cross-sectional | PRISM2 ICEMR Cohort | GANC | Amazonia ICEMR Brazil Cohort | GEMS1A Case Control | SHINE | Amazonia ICEMR Peru Cohort | Malawi ICEMR Case-Control
http://purl.obolibrary.org/obo/EUPATH_0031058,Bucket toilet,wi_bucket,vida_enrl.csv,,Community,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,,,value,VIDA Case Control
http://purl.obolibrary.org/obo/EUPATH_0057708,Closet over river,icemrcambodiahousehold_data_2022-05-13_1307_sak::toilet___6,icemrcambodiahousehold_data_2022-05-13_1307_sak,,Community,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,,,value,SW PACIFIC
http://purl.obolibrary.org/obo/EUPATH_0031059,Composting toilet,wi_comp,vida_enrl.csv,,Community,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,,,value,VIDA Case Control
http://purl.obolibrary.org/obo/EUPATH_0031060,Flush to piped sewer system,wi_shr_flushpipe | wi_flushpipe,vida_enrl.csv,,Community,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,,,value,VIDA Case Control
http://purl.obolibrary.org/obo/EUPATH_0031061,Flush to somewhere else,wi_shr_flushelse | wi_flushelse,vida_enrl.csv,,Community,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,,,value,VIDA Case Control
http://purl.obolibrary.org/obo/EUPATH_0031062,Hanging toilet/latrine,wi_shr_hang | wi_hang,vida_enrl.csv,,Community,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,,,value,VIDA Case Control
http://purl.obolibrary.org/obo/EUPATH_0048013,Improved latrine path,SHINE_Baseline_Household_Data::improvedlatrinepath_b0,SHINE_Baseline_Household_Data,,Community,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,improved latrine_well troden path,,value,SHINE
http://purl.obolibrary.org/obo/EUPATH_0031063,No facility/bush/field,icemrcambodiahousehold_data_2022-05-13_1307_sak::toilet___1 | wi_shr_none | wi_none,icemrcambodiahousehold_data_2022-05-13_1307_sak | vida_enrl.csv,,Community,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,,,value,SW PACIFIC | VIDA Case Control
http://purl.obolibrary.org/obo/EUPATH_0031064,Open pit latrine,icemrcambodiahousehold_data_2022-05-13_1307_sak::toilet___3 | wi_pitopen | wi_shr_pitopen,icemrcambodiahousehold_data_2022-05-13_1307_sak | vida_enrl.csv,,Community,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,,,value,SW PACIFIC | VIDA Case Control
