IRI,label,parentLabel,parentIRI
http://purl.obolibrary.org/obo/VEuGEO_0002980,`Asir,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0030023,Aa en Hunze,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0015642,Aalborg,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0009101,Abaetetuba,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0026883,Abasolo (Nuevo León),location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0033046,Abau,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0009102,Abel Figueiredo,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0029673,Abeokuta South,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0013388,Abidjan (Abidjan),location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0006094,Abomey,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0006042,Abomey-Calavi,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0025991,Acapetahua,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0026312,Acapulco de Juárez,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0018841,Accra,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0019056,Acurenam,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0039733,Ad Dinder,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0040462,Ada (Serbia),location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0045372,Ada (United States),location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0018772,Adansi North,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0018773,Adansi South,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0029578,Adavi,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0005387,Adelaide,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0005388,Adelaide Hills,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0017947,Adi Kwala,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0006081,Adjohoun,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0018245,Afar Zone 3,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0029741,Afijio,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0029322,Afikpo,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0018824,Afram Plains,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0035215,Agigea,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0018264,Agnuak,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0013402,Agnéby-Tiassa,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0021737,Agra,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0022413,Agrigento,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0002704,Aguadilla,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0032645,Aguilar,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0006082,Aguégués,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0018896,Ahanta West,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0015475,Ahrweiler,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0021984,Ahvaz,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0039910,Aimela,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0018357,Ain (France),location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0024552,Ainamoi,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0033112,Aitape-Lumi,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0006226,Aitos,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0040719,Ajdovščina,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0029616,Ajeromi/Ifelodun,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0037333,Akhtubinskiy rayon,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0029742,Akinyele,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0006083,Akpro-Missérété,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0038804,Aksayskiy rayon,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0018825,Akwapim North,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0039709,Al Fasher,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0039683,Al Faw (Sudan),location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
