Term IRI	Label	parent 	parent IRI	definition	definition source
http://purl.obolibrary.org/obo/EUPATH_0000333	easting coordinate measurement datum	one dimensional cartesian spatial coordinate datum	http://purl.obolibrary.org/obo/IAO_0000401	One dimensional cartesian spatial coordinate datum refers to eastward-measured distance (or the x-coordinate). The terms easting and northing are geographic Cartesian coordinates for a point. Easting and northing coordinates are commonly measured in meters from a horizontal datum.	
http://purl.obolibrary.org/obo/EUPATH_0000334	northing coordinate measurement datum	one dimensional cartesian spatial coordinate datum	http://purl.obolibrary.org/obo/IAO_0000401	One dimensional cartesian spatial coordinate datum refers to the northward-measured distance (or the y-coordinate). The terms easting and northing are geographic Cartesian coordinates for a point. Easting and northing coordinates are commonly measured in meters from a horizontal datum.	
http://purl.obolibrary.org/obo/EUPATH_0000335	human waste disposal	environmental feature	http://purl.obolibrary.org/obo/ENVO_00002297	An environmental feature for disposing human waste.	
http://purl.obolibrary.org/obo/EUPATH_0000336	number of non-scheduled visits	count	http://purl.obolibrary.org/obo/STATO_0000047	A count of the total number of non-scheduled clinical visits in an investigation.	
http://purl.obolibrary.org/obo/EUPATH_0000337	number of scheduled visits	count	http://purl.obolibrary.org/obo/STATO_0000047	A count of the total number of scheduled clinical visits in an investigation.	
http://purl.obolibrary.org/obo/EUPATH_0000338	malaria diagnosis and blood smear information	information content entity	http://purl.obolibrary.org/obo/IAO_0000030	An information content entity that is about malaria diagnosis or blood smear.	
http://purl.obolibrary.org/obo/EUPATH_0000339	dwelling animal information	dwelling information	http://purl.obolibrary.org/obo/EUPATH_0000093	A dwelling information about animal living in a human dwelling.	
http://purl.obolibrary.org/obo/EUPATH_0000340	human traveling information	information content entity	http://purl.obolibrary.org/obo/IAO_0000030	An information content entity that is about human traveling.	
http://purl.obolibrary.org/obo/EUPATH_0000341	vector control intervention information	information content entity	http://purl.obolibrary.org/obo/IAO_0000030	An information content entity that is about vector control intervention towards interruption of transmission of infectious diseases. 	
http://purl.obolibrary.org/obo/EUPATH_0000342	employment information	information content entity	http://purl.obolibrary.org/obo/IAO_0000030	An information content entity that is about employment.	
http://purl.obolibrary.org/obo/EUPATH_0000343	domesticated animal in a human dwelling	organism	http://purl.obolibrary.org/obo/OBI_0100026	An organism that raised by people and lives in a human dwelling.	
http://purl.obolibrary.org/obo/EUPATH_0000344	information of when bed net last treated	information content entity	http://purl.obolibrary.org/obo/IAO_0000030	An information content entity that is about when the bed net is last treated.	
http://purl.obolibrary.org/obo/EUPATH_0000345	education level information	information content entity	http://purl.obolibrary.org/obo/IAO_0000030	An information content entity that is about the highest level of schooling that a person has reached. 	
