IRI,new IRI,replaces,label,# label,# parentIRI,# parentLabel
http://purl.bioontology.org/ontology/SNOMEDCT/83088009,http://purl.obolibrary.org/obo/NCBITaxon_28090,SNOMEDCT/83088009,,Acinetobacter lwoffi,http://purl.obolibrary.org/obo/EUPATH_0009104,Bacteria detected
http://purl.obolibrary.org/obo/DRON_00017034,http://purl.obolibrary.org/obo/CHEBI_92511,DRON_00017034,,Ketotifen,http://purl.obolibrary.org/obo/EUPATH_0025092,Medication
http://purl.obolibrary.org/obo/ENVO_00000004,http://purl.obolibrary.org/obo/ENVO_00000009,OBI_0001627 |  ENVO_00000004,,Country,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location
http://purl.obolibrary.org/obo/EUPATH_0000015,http://purl.obolibrary.org/obo/ENVO_01000825,EUPATH_0000015,,Eaves,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics
http://purl.obolibrary.org/obo/EUPATH_0000047,http://purl.obolibrary.org/obo/CMO_0000026,EUPATH_0000047,,Hemoglobin,http://purl.obolibrary.org/obo/EUPATH_0011795,Blood test
http://purl.obolibrary.org/obo/EUPATH_0000110,http://purl.obolibrary.org/obo/OBI_0003073,EUPATH_0000110,,Temperature,http://purl.obolibrary.org/obo/OGMS_0000083,Participant
http://purl.obolibrary.org/obo/EUPATH_0000120,http://purl.obolibrary.org/obo/OBI_0003075,EUPATH_0000120,,Age at enrollment,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0000127,http://purl.obolibrary.org/obo/OBI_0003055,EUPATH_0000127,,Filter paper sample,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample
http://purl.obolibrary.org/obo/EUPATH_0000327,http://purl.obolibrary.org/obo/OBI_0003077,EUPATH_0000327,,Entomology,http://www.w3.org/2002/07/owl#Thing,
http://purl.obolibrary.org/obo/EUPATH_0000340,http://purl.obolibrary.org/obo/OMRSE_00000142,EUPATH_0000340,,Travel details,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant
http://purl.obolibrary.org/obo/EUPATH_0000345,http://purl.obolibrary.org/obo/OMRSE_00002045,EUPATH_0000345,,Education level,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics
http://purl.obolibrary.org/obo/EUPATH_0000368,http://purl.obolibrary.org/obo/ENVO_01001260,EUPATH_0000368,,Garbage disposal,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities
http://purl.obolibrary.org/obo/EUPATH_0000433,http://purl.obolibrary.org/obo/OBI_0003044,EUPATH_0000433,,"Plasmodium species, by qPCR",http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood
http://purl.obolibrary.org/obo/EUPATH_0000437,http://purl.obolibrary.org/obo/OBI_0003041,EUPATH_0000437,,"Plasmodium species, by FalciVax RDT",http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood
http://purl.obolibrary.org/obo/EUPATH_0000438,http://purl.obolibrary.org/obo/OBI_0003042,EUPATH_0000438,,"Plasmodium species, by OptiMAL RDT",http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood
http://purl.obolibrary.org/obo/EUPATH_0000512,http://purl.obolibrary.org/obo/OBI_0003074,EUPATH_0000512,,Host common name,http://purl.obolibrary.org/obo/EUPATH_0000589,Host information
http://purl.obolibrary.org/obo/EUPATH_0000528,http://purl.obolibrary.org/obo/OBI_0003036,EUPATH_0000528,,Gametocyte detection,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory findings
http://purl.obolibrary.org/obo/EUPATH_0000538,http://purl.obolibrary.org/obo/OBI_0003038,EUPATH_0000538,,Parasite detection,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory findings
http://purl.obolibrary.org/obo/EUPATH_0000539,http://purl.obolibrary.org/obo/OBI_0003045,EUPATH_0000539,,PCR method,http://purl.obolibrary.org/obo/EUPATH_0000538,Parasite detection
http://purl.obolibrary.org/obo/EUPATH_0000544,http://purl.obolibrary.org/obo/OBI_0003080,EUPATH_0000544,,Temperature measurement method,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination
http://purl.obolibrary.org/obo/EUPATH_0000545,http://purl.obolibrary.org/obo/OBI_0003037,EUPATH_0000545,,Type of RDT,http://purl.obolibrary.org/obo/EUPATH_0000538,Parasite detection
http://purl.obolibrary.org/obo/EUPATH_0000606,http://purl.obolibrary.org/obo/OBI_0003071,EUPATH_0000606,,Subject ID,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source
http://purl.obolibrary.org/obo/EUPATH_0000608,http://purl.obolibrary.org/obo/OBI_0003070,EUPATH_0000608,,Sample collection device or method,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection
http://purl.obolibrary.org/obo/EUPATH_0000613,http://purl.obolibrary.org/obo/OBI_0003084,EUPATH_0000613,,Sample collection time post infection (days),http://purl.obolibrary.org/obo/OBI_0000659,Sample collection
http://purl.obolibrary.org/obo/EUPATH_0000724,http://purl.obolibrary.org/obo/OBI_0003039,EUPATH_0000724,,Stool microbiology test,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test
http://purl.obolibrary.org/obo/EUPATH_0010047,http://purl.obolibrary.org/obo/OBI_0003068,EUPATH_0010047,,Study center,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0010095,http://purl.obolibrary.org/obo/OBI_0003072,EUPATH_0010095,,Axillary temperature,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination
http://purl.obolibrary.org/obo/EUPATH_0011795,http://purl.obolibrary.org/obo/OBI_0003040,EUPATH_0011795,,Blood test,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test
http://purl.obolibrary.org/obo/EUPATH_0011797,http://purl.obolibrary.org/obo/OBI_0003043,EUPATH_0011797,,Urine test,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test
http://purl.obolibrary.org/obo/EUPATH_0015076,http://purl.obolibrary.org/obo/HP_0000490,EUPATH_0015076,,Sunken eye,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms
http://purl.obolibrary.org/obo/EUPATH_0021083,http://purl.obolibrary.org/obo/OBI_0003054,EUPATH_0021083,,Vacutainer sample,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample
http://purl.obolibrary.org/obo/EUPATH_0030101,http://purl.obolibrary.org/obo/OBI_0003286,EUPATH_0030101,,Urine microbiology test,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test
