ontology IRI	Label	Term parent IRI	Term parent	Data Dictionary ID	Data Dictionary label (es)	Term Type	Amazonia Preferred Label (es)	Data Dictionary label (en)	form	file_name_in_box.net	table	quest_num_in forms	values	time_of_collection	JZ comments
				eupath/icemr.owl#amazonia_id	EUPATH_0000263	EUPATH_0000271	EUPATH_0000265	EUPATH_0000332	eupath/icemr/amazonia.owl#form	eupath/icemr/amazonia.owl#file_name_in_box_net	eupath/icemr/amazonia.owl#table	eupath/icemr/amazonia.owl#quest_num_in_forms	eupath/icemr/amazonia.owl#allow_values	eupath/icemr/amazonia.owl#collection	eupath/icemr/amazonia.owl#Jzcomment
http://purl.obolibrary.org/obo/ICEMR_0101034	Animals on property	http://purl.obolibrary.org/obo/ICEMR_0000001	Animal Information	AMAZONIA_0100001	Animales que viven en la casa	variable	Animales que viven en la casa	Animals on the property	F1	censo_exel_proy1.xlsx	House	71	"categorical, 1-2"	only at enrollment	"Values are vacas,cabras,pollos,gallinas,gallos,pavo,patos,pericos,loro,mono,chancho,conejo,perros,gatos,tortuga. They might be used as column name"
http://purl.obolibrary.org/obo/ICEMR_0102002	Infections w/ p. viv	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical History	AMAZONIA_0100002	MalViv	variable	Número de infecciones con P. vivax en toda su vida	Number of infections with P. vivax in lifetime	F1	censo_exel_proy1.xlsx	Malaria	23	numerical/77=not remember)	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102003	Infections w/ p. viv last year	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical History	AMAZONIA_0100003	MalVivano	variable	Número de infecciones con P. vivax en el último año	Number of infections with P. vivax in the last year	F1	censo_exel_proy1.xlsx	Malaria	24	numerical/77=not remember)	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102004	Infections w/ p.fal	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical History	AMAZONIA_0100004	MalFal	variable	Número de infecciones con P. falciparum en toda su vida	Number of infections with P. falciparum in lifetime	F1	censo_exel_proy1.xlsx	Malaria	25	numerical/77=not remember)	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102005	Infections w/ p.fal last year	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical History	AMAZONIA_0100005	MalFalano	variable	Número de infecciones con P. falciparum en el último año	Number of infections with P. falciparum in the last year	F1	censo_exel_proy1.xlsx	Malaria	26	numerical/77=not remember)	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102006	Days worked per week (Primary)	http://purl.obolibrary.org/obo/ICEMR_0000004	Employment Details	AMAZONIA_0100006	diassemp	variable	Dias por semana de trabajo	Number of days per week at job	F1	censo_exel_proy1.xlsx	Labor	35	numerical/99=NA	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102007	Days worked per week (Secondary)	http://purl.obolibrary.org/obo/ICEMR_0000004	Employment Details	AMAZONIA_0100007	diasseml	variable	Dias por semana de otro trabajo	Number of days per week at other job	F1	censo_exel_proy1.xlsx	Labor	43		only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102008	Job (Primary)	http://purl.obolibrary.org/obo/ICEMR_0000004	Employment Details	AMAZONIA_0100008	traprin	variable	Principal actividad económica	Primary economic activity	F1	censo_exel_proy1.xlsx	Labor	34	"categorical, 1-14/99=NA"	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102009	Job (Secondary)	http://purl.obolibrary.org/obo/ICEMR_0000004	Employment Details	AMAZONIA_0100009	lab	variable	Especificar otro trabajo	Secondary activity	F1	censo_exel_proy1.xlsx	Labor	42	"categorical, 1-14/99=NA"	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102010	Job description (Primary)	http://purl.obolibrary.org/obo/ICEMR_0000004	Employment Details	AMAZONIA_0100010	destra	variable	Descripción de trabajo	Job description	F1	censo_exel_proy1.xlsx	Labor	33	text/99=NA	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102011	Job description (Secondary)	http://purl.obolibrary.org/obo/ICEMR_0000004	Employment Details	AMAZONIA_0100011	labotr	variable	Especificar otro trabajo (opcion 14)	Other job description 	F1	censo_exel_proy1.xlsx	Labor	42.14	text	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102012	Job in the last month (Secondary)	http://purl.obolibrary.org/obo/ICEMR_0000004	Employment Details	AMAZONIA_0100012	Otrlab	variable	Otro trabajo en el último mes	Other economic activity in the last month (secondary activity)	F1	censo_exel_proy1.xlsx	Labor	41	"categorical, 1-2"	only at enrollment	
