Term Ontology ID	Display Label	Term Parent Ontology ID	Term Parent display Label	Data Dictionary ID	Data Dictionary Label	Term Type
ICEMR_0000001	Animal Information	EUPATH_0000093	Dwelling	INDIAN_0000001	Animal Information	category
OGMS_0000015	Clinical History	EUPATH_0000307	Participant Study Details	INDIAN_0000002	Clinical History	category
OGMS_0000073	Diagnosis	EUPATH_0000328	Visit	INDIAN_0000003	Diagnosis	category
EUPATH_0000093	Dwelling	http://www.w3.org/2002/07/owl#Thing		INDIAN_0000004	Dwelling	category
EUPATH_0000301	Dwelling Summary	EUPATH_0000093	Dwelling	INDIAN_0000005	Dwelling Summary	category
EUPATH_0000302	Facilities	EUPATH_0000093	Dwelling	INDIAN_0000006	Facilities	category
GAZ_00000448	Geographic location	http://www.w3.org/2002/07/owl#Thing		INDIAN_0000007	Geographic location	category
OGMS_0000018	Laboratory Findings	EUPATH_0000328	Visit	INDIAN_0000008	Laboratory Findings	category
EUPATH_0000057	Medication	EUPATH_0000328	Visit	INDIAN_0000009	Medication	category
EUPATH_0000096	Participant	http://www.w3.org/2002/07/owl#Thing		INDIAN_0000010	Participant	category
EUPATH_0000306	Participant Genotype	EUPATH_0000096	Participant	INDIAN_0000011	Participant Genotype	category
EUPATH_0000307	Participant Study Details	EUPATH_0000096	Participant	INDIAN_0000012	Participant Study Details	category
EUPATH_0000303	Physical Characteristics	EUPATH_0000093	Dwelling	INDIAN_0000013	Physical Characteristics	category
OGMS_0000083	Physical Examination	EUPATH_0000328	Visit	INDIAN_0000014	Physical Examination	category
EUPATH_0000304	Socioeconomic Factors	EUPATH_0000093	Dwelling	INDIAN_0000015	Socioeconomic Factors	category
EUPATH_0000309	Symptoms	EUPATH_0000328	Visit	INDIAN_0000016	Symptoms	category
ICEMR_0000002	Traveling Details	EUPATH_0000096	Participant	INDIAN_0000017	Traveling Details	category
ICEMR_0000003	Vector Intervention	EUPATH_0000093	Dwelling	INDIAN_0000018	Vector Intervention	category
EUPATH_0000328	Visit	http://www.w3.org/2002/07/owl#Thing		INDIAN_0000019	Visit	category
EUPATH_0000310	Visit Details	EUPATH_0000328	Visit	INDIAN_0000020	Visit Details	category
ICEMR_0101031	Address changed?	EUPATH_0000310	Visit Details	INDIAN_0100031	addresschange_yn	variable
ICEMR_0101034	Animals on property	ICEMR_0000001	Animal Information	INDIAN_0100034	animals_chk	variable
ICEMR_0101035	# Livestock	ICEMR_0000001	Animal Information	INDIAN_0100035	animals_nonpets_count	variable
ICEMR_0101036	# Pets/Other	ICEMR_0000001	Animal Information	INDIAN_0100036	animals_pets_count	variable
ICEMR_0101037	Bednet treatment	ICEMR_0000003	Vector Intervention	INDIAN_0100037	bednet	variable
ICEMR_0101038	# Bednet (ITN, treated < 6 mo ago)	ICEMR_0000003	Vector Intervention	INDIAN_0100038	bednet_count_2	variable
ICEMR_0101039	# Bednet (ITN, treated >6 mo ago)	ICEMR_0000003	Vector Intervention	INDIAN_0100039	bednet_count_3	variable
ICEMR_0101040	# Bednet (Long-lasting ITN)	ICEMR_0000003	Vector Intervention	INDIAN_0100040	bednet_count_4	variable
ICEMR_0101041	# Bednet  (Untreated)	ICEMR_0000003	Vector Intervention	INDIAN_0100041	bednet_count_5	variable
ICEMR_0101042	Blood pressure	OGMS_0000083	Physical Examination	INDIAN_0100042	bp	variable
ICEMR_0101044	Proximity to case dwelling	EUPATH_0000096	Participant	INDIAN_0100044	case_household	variable
ICEMR_0101046	Filled census form at enrollment?	EUPATH_0000310	Visit Details	INDIAN_0100046	cen_onsite	variable
ICEMR_0101047	Clinic	EUPATH_0000310	Visit Details	INDIAN_0100047	clinic	variable
ICEMR_0101048	Clinic location	EUPATH_0000310	Visit Details	INDIAN_0100048	clinic_rad	variable
ICEMR_0101051	District	GAZ_00000448	Geographic location	INDIAN_0100051	district	variable
ICEMR_0101052	Division/Ward #	GAZ_00000448	Geographic location	INDIAN_0100052	division	variable
ICEMR_0101054	Take antimalarial drugs as advised?	EUPATH_0000057	Medication	INDIAN_0100054	drugs_2wk_comply_yn	variable
ICEMR_0101055	Take antimalarial drugs?	EUPATH_0000057	Medication	INDIAN_0100055	drugs_2wk_yn	variable
ICEMR_0101056	Education level	EUPATH_0000307	Participant Study Details	INDIAN_0100056	education	variable
ICEMR_0101058	Existing illness	EUPATH_0000309	Symptoms	INDIAN_0100058	existing_illness_list	variable
