Term Ontology IRI	Display Label	Term parent ontology IRI	Term Parent Display Label	Data Dictionary ID	PRISM Data Dictionary Label (en)	Term Type	PRISM Preferred Label (en)
				eupath/icemr.owl#prism_id	EUPATH_0000267	EUPATH_0000271	EUPATH_0000268
http://purl.obolibrary.org/obo/EUPATH_0000305	Aggregated  Visit Details	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	PRISM_0000001	Aggregated  Visit Details	category	Aggregated  Visit Details
http://purl.obolibrary.org/obo/EUPATH_0000312	Aggregated Entomological Measurement	http://purl.obolibrary.org/obo/EUPATH_0000327	Entomological Measurements	PRISM_0000002	Aggregated Entomological Measurement	category	Aggregated Entomological Measurement
http://purl.obolibrary.org/obo/EUPATH_0000322	Anopheles funestus	http://purl.obolibrary.org/obo/EUPATH_0000313	Individual Entomogical Measurement	PRISM_0000003	Anopheles funestus	category	Anopheles funestus
http://purl.obolibrary.org/obo/EUPATH_0000323	Anopheles gambiae sl	http://purl.obolibrary.org/obo/EUPATH_0000313	Individual Entomogical Measurement	PRISM_0000004	Anopheles gambiae sl	category	Anopheles gambiae sl
http://purl.obolibrary.org/obo/OGMS_0000073	Diagnosis	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	PRISM_0000005	Diagnosis	category	Diagnosis
http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	http://www.w3.org/2002/07/owl#Thing	Thing	PRISM_0000006	Dwelling	category	Dwelling
http://purl.obolibrary.org/obo/EUPATH_0000301	Dwelling Summary	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	PRISM_0000007	Dwelling Summary	category	Dwelling Summary
http://purl.obolibrary.org/obo/EUPATH_0000327	Entomological Measurements	http://www.w3.org/2002/07/owl#Thing	Thing	PRISM_0000008	Entomological Measurements	category	Entomological Measurements
http://purl.obolibrary.org/obo/EUPATH_0000302	Facilities	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	PRISM_0000009	Facilities	category	Facilities
http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	http://www.w3.org/2002/07/owl#Thing	Thing	PRISM_0000010	Geographic location	category	geographic location
http://purl.obolibrary.org/obo/EUPATH_0000308	Hospitalization	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	PRISM_0000011	Hospitalization	category	hospitalization
http://purl.obolibrary.org/obo/EUPATH_0000313	Individual Entomogical Measurement	http://purl.obolibrary.org/obo/EUPATH_0000327	Entomological Measurements	PRISM_0000012	Individual Entomogical Measurement	category	individual Entomogical Measurement
http://purl.obolibrary.org/obo/OGMS_0000018	Laboratory Findings	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	PRISM_0000013	Laboratory Findings	category	Laboratory Findings
http://purl.obolibrary.org/obo/EUPATH_0000316	Malaria severity and basis	http://purl.obolibrary.org/obo/OGMS_0000073	Diagnosis	PRISM_0000014	Malaria severity and basis	category	Malaria severity and basis
http://purl.obolibrary.org/obo/EUPATH_0000057	Medication	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	PRISM_0000015	medcode	category	Medication
http://purl.obolibrary.org/obo/EUPATH_0000324	Mosquito Parity	http://purl.obolibrary.org/obo/EUPATH_0000313	Individual Entomogical Measurement	PRISM_0000016	Mosquito Parity	category	Mosquito Parity
http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	http://www.w3.org/2002/07/owl#Thing	Thing	PRISM_0000017	Participant	category	Participant
http://purl.obolibrary.org/obo/EUPATH_0000306	Participant Genotype	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	PRISM_0000018	Participant Genotype	category	Participant Genotype
http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	PRISM_0000019	Participant Study Details	category	Participant Study Details
http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	PRISM_0000020	Physical Characteristics	category	Physical Characteristics
http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic Factors	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	PRISM_0000021	Socioeconomic Factors	category	Socioeconomic Factors
http://purl.obolibrary.org/obo/EUPATH_0000326	Sporozoite Rate	http://purl.obolibrary.org/obo/EUPATH_0000312	Aggregated Entomological Measurement	PRISM_0000022	Sporozoite Rate	category	Sporozoite Rate
http://purl.obolibrary.org/obo/EUPATH_0000325	Sporozoite Testing	http://purl.obolibrary.org/obo/EUPATH_0000313	Individual Entomogical Measurement	PRISM_0000023	Sporozoite Testing	category	Sporozoite Testing
http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	PRISM_0000024	Symptoms	category	Symptoms and Signs
http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	http://www.w3.org/2002/07/owl#Thing	Thing	PRISM_0000025	Visit	category	Visit
http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	PRISM_0000026	Visit Details	category	Visit Details
http://purl.obolibrary.org/obo/OGMS_0000083	Physical Examination	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	PRISM_0000027	Physical Examination	category	Physical Examination
