Term Ontology IRI	Display Label	Term parent ontology IRI	Term Parent Display Label	Data Dictionary ID	PRISM Data Dictionary Label (en)	Term Type	PRISM Preferred Label (en)	Prism Description	EuPath Definition	ID#
				eupath/icemr.owl#prism_id	EUPATH_0000267	EUPATH_0000271	EUPATH_0000268	EUPATH_0000270	EUPATH_0000112	eupath/icemr/prism.owl#david_assigned_id
http://purl.obolibrary.org/obo/HP_0002027	Abdominal pain	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100001	abdominalpain	variable	Abdominal pain	Pain perceived to originate in the abdomen	Pain perceived to originate in the abdomen	3.2.6.1
http://purl.obolibrary.org/obo/EUPATH_0000155	Anorexia duration	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100002	aduration	variable	duration of anorexia			3.2.6.4
http://purl.obolibrary.org/obo/EUPATH_0000120	Age at time of enrollment	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	PRISM_0100003	age	variable	Age at time of enrollment	Date of study participant's birth	Date of study participant's birth	2.2.1
http://purl.obolibrary.org/obo/EUPATH_0000113	Age at time of visit	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	PRISM_0100004	age since birth at time of visit	variable	Age at time of visit			3.1.4
http://purl.obolibrary.org/obo/EUPATH_0000018	Air bricks	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	PRISM_0100005	airbrickcat	variable	Air bricks	Type of airbricks (if any)	Type of airbricks (if any)	1.2.6
http://purl.obolibrary.org/obo/EUPATH_0000034	A-Thalassemia Genotype	http://purl.obolibrary.org/obo/EUPATH_0000306	Participant Genotype	PRISM_0100006	alphathal	variable	A-Thalassemia Genotype			2.2.4.1
http://purl.obolibrary.org/obo/SYMP_0000523	Anorexia	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100007	Anorexia	variable	Anorexia	A lack or loss of appetite for food (as a medical condition)	A lack or loss of appetite for food (as a medical condition)	3.2.6.3
http://purl.obolibrary.org/obo/EUPATH_0000038	Uncomplicated malaria	http://purl.obolibrary.org/obo/EUPATH_0000316	Malaria severity and basis	PRISM_0100008	anymalaria	variable	Uncomplicated malaria	Diagnosis of malaria (no evidence of complicated malaria)	Diagnosis of malaria (no evidence of complicated malaria)	3.3.1.3
http://purl.obolibrary.org/obo/EUPATH_0000154	Abdominal pain duration	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100009	apainduration	variable	duration of abdominal pain			3.2.6.2
http://purl.obolibrary.org/obo/EUPATH_0000118	Ave Anopheles positive	http://purl.obolibrary.org/obo/EUPATH_0000326	Sporozoite Rate	PRISM_0100010	Ave Anopheles Positive	variable	Ave Anopheles positive	Average number of Anopheles with Plasmodium sporozoites	Average number of Anopheles with Plasmodium sporozoites	1.5.7.2
http://purl.obolibrary.org/obo/EUPATH_0000117	Ave Anopheles tested	http://purl.obolibrary.org/obo/EUPATH_0000326	Sporozoite Rate	PRISM_0100011	Ave Anopheles Tested	variable	Ave Anopheles tested	Average number of Anopheles examined for sporozoites	Average number of Anopheles examined for sporozoites	1.5.7.1
http://purl.obolibrary.org/obo/EUPATH_0000114	Ave parasite density (asymptomatic parasitemia)	http://purl.obolibrary.org/obo/EUPATH_0000305	Aggregated Visit Details	PRISM_0100012	Ave Asymptomatic Parasite Density	variable	Ave parasite density (asymptomatic parasitemia)			2.3.8
http://purl.obolibrary.org/obo/EUPATH_0000115	Ave parasite density (malaria diagnosis)	http://purl.obolibrary.org/obo/EUPATH_0000305	Aggregated Visit Details	PRISM_0100013	Ave Malaria Parasite Density	variable	Ave parasite density (malaria diagnosis)			2.3.5
http://purl.obolibrary.org/obo/EUPATH_0000119	% Anopheles positive	http://purl.obolibrary.org/obo/EUPATH_0000326	Sporozoite Rate	PRISM_0100014	Ave Percent Anopheles Positive	variable	% Anopheles positive	Average percent of Anopheles with Plasmodium sporozoites	Average percent of Anopheles with Plasmodium sporozoites	1.5.7.3
