Term Ontology ID	Display Label	Term Parent Ontology ID	Term Parent display Label	Data Dictionary ID	Data Dictionary Label	Term Type
EUPATH_0000305	Aggregated  Visit Details	EUPATH_0000096	Participant	PRISM_0000001	Aggregated  Visit Details	category
EUPATH_0000312	Aggregated Entomological Measurement	EUPATH_0000327	Entomological Measurements	PRISM_0000002	Aggregated Entomological Measurement	category
EUPATH_0000322	Anopheles funestus	EUPATH_0000313	Individual Entomogical Measurement	PRISM_0000003	Anopheles funestus	category
EUPATH_0000323	Anopheles gambiae sl	EUPATH_0000313	Individual Entomogical Measurement	PRISM_0000004	Anopheles gambiae sl	category
OGMS_0000073	Diagnosis	EUPATH_0000328	Visit	PRISM_0000005	Diagnosis	category
EUPATH_0000093	Dwelling	http://www.w3.org/2002/07/owl#Thing	Thing	PRISM_0000006	Dwelling	category
EUPATH_0000301	Dwelling Summary	EUPATH_0000093	Dwelling	PRISM_0000007	Dwelling Summary	category
EUPATH_0000327	Entomological Measurements	http://www.w3.org/2002/07/owl#Thing	Thing	PRISM_0000008	Entomological Measurements	category
EUPATH_0000302	Facilities	EUPATH_0000093	Dwelling	PRISM_0000009	Facilities	category
GAZ_00000448	Geographic location	http://www.w3.org/2002/07/owl#Thing	Thing	PRISM_0000010	Geographic location	category
EUPATH_0000308	Hospitalization	EUPATH_0000328	Visit	PRISM_0000011	Hospitalization	category
EUPATH_0000313	Individual Entomogical Measurement	EUPATH_0000327	Entomological Measurements	PRISM_0000012	Individual Entomogical Measurement	category
OGMS_0000018	Laboratory Findings	EUPATH_0000328	Visit	PRISM_0000013	Laboratory Findings	category
EUPATH_0000316	Malaria severity and basis	OGMS_0000073	Diagnosis	PRISM_0000014	Malaria severity and basis	category
EUPATH_0000057	Medication	EUPATH_0000328	Visit	PRISM_0000015	medcode	category
EUPATH_0000324	Mosquito Parity	EUPATH_0000313	Individual Entomogical Measurement	PRISM_0000016	Mosquito Parity	category
EUPATH_0000096	Participant	http://www.w3.org/2002/07/owl#Thing	Thing	PRISM_0000017	Participant	category
EUPATH_0000306	Participant Genotype	EUPATH_0000096	Participant	PRISM_0000018	Participant Genotype	category
EUPATH_0000307	Participant Study Details	EUPATH_0000096	Participant	PRISM_0000019	Participant Study Details	category
EUPATH_0000303	Physical Characteristics	EUPATH_0000093	Dwelling	PRISM_0000020	Physical Characteristics	category
EUPATH_0000304	Socioeconomic Factors	EUPATH_0000093	Dwelling	PRISM_0000021	Socioeconomic Factors	category
EUPATH_0000326	Sporozoite Rate	EUPATH_0000312	Aggregated Entomological Measurement	PRISM_0000022	Sporozoite Rate	category
EUPATH_0000325	Sporozoite Testing	EUPATH_0000313	Individual Entomogical Measurement	PRISM_0000023	Sporozoite Testing	category
EUPATH_0000309	Symptoms and Signs	EUPATH_0000328	Visit	PRISM_0000024	Symptoms and Signs	category
EUPATH_0000328	Visit	http://www.w3.org/2002/07/owl#Thing	Thing	PRISM_0000025	Visit	category
EUPATH_0000310	Visit Details	EUPATH_0000328	Visit	PRISM_0000026	Visit Details	category
OGMS_0000083	Physical Examination	EUPATH_0000328	Visit	PRISM_0000027	Physical Examination	category
HP_0002027	Abdominal pain	EUPATH_0000309	Symptoms	PRISM_0100001	abdominalpain	variable
EUPATH_0000155	Anorexia duration	EUPATH_0000309	Symptoms	PRISM_0100002	aduration	variable
EUPATH_0000120	Age at time of enrollment	EUPATH_0000307	Participant Study Details	PRISM_0100003	age	variable
EUPATH_0000113	Age at time of visit	EUPATH_0000310	Visit Details	PRISM_0100004	age since birth at time of visit	variable
EUPATH_0000018	Air bricks	EUPATH_0000303	Physical Characteristics	PRISM_0100005	airbrickcat	variable
EUPATH_0000034	A-Thalassemia Genotype	EUPATH_0000306	Participant Genotype	PRISM_0100006	alphathal	variable
SYMP_0000523	Anorexia	EUPATH_0000309	Symptoms	PRISM_0100007	Anorexia	variable
EUPATH_0000038	Uncomplicated malaria	EUPATH_0000316	Malaria severity and basis	PRISM_0100008	anymalaria	variable
EUPATH_0000154	Abdominal pain duration	EUPATH_0000309	Symptoms	PRISM_0100009	apainduration	variable
EUPATH_0000118	Ave Anopheles positive	EUPATH_0000326	Sporozoite Rate	PRISM_0100010	Ave Anopheles Positive	variable
EUPATH_0000117	Ave Anopheles tested	EUPATH_0000326	Sporozoite Rate	PRISM_0100011	Ave Anopheles Tested	variable
EUPATH_0000114	Ave parasite density (asymptomatic parasitemia)	EUPATH_0000305	Aggregated  Visit Details	PRISM_0100012	Ave Asymptomatic Parasite Density	variable
EUPATH_0000115	Ave parasite density (malaria diagnosis)	EUPATH_0000305	Aggregated  Visit Details	PRISM_0100013	Ave Malaria Parasite Density	variable
EUPATH_0000119	% Anopheles positive	EUPATH_0000326	Sporozoite Rate	PRISM_0100014	Ave Percent Anopheles Positive	variable
EUPATH_0000116	Human Biting Rate (HBR)	EUPATH_0000312	Aggregated Entomological Measurement	PRISM_0100015	Ave_anopheles	variable
EUPATH_0000048	Asexual parasites present	OGMS_0000018	Laboratory Findings	PRISM_0100016	Bsdich	variable
EUPATH_0000156	Cough duration	EUPATH_0000309	Symptoms	PRISM_0100017	cduration	variable
EUPATH_0000036	Basis of complicated diagnosis	EUPATH_0000316	Malaria severity and basis	PRISM_0100018	cmcategory	variable
EUPATH_0000040	Complicated malaria	EUPATH_0000316	Malaria severity and basis	PRISM_0100019	complicatedmalaria	variable
SYMP_0000614	Cough	EUPATH_0000309	Symptoms	PRISM_0100020	Cough	variable
EUPATH_0000319	Date of hospital admission	EUPATH_0000308	Hospitalization	PRISM_0100021	date of hospital admission	variable
EUPATH_0000320	Date of hospital discharge	EUPATH_0000308	Hospitalization	PRISM_0100022	date of hospital discharge	variable
EUPATH_0000150	Date of death	EUPATH_0000307	Participant Study Details	PRISM_0100023	dateofdeath	variable
EUPATH_0000191	Days since enrollment	EUPATH_0000310	Visit Details	PRISM_0100024	dayssinceenrollment	variable
EUPATH_0000157	Diarrhea duration	EUPATH_0000309	Symptoms	PRISM_0100025	dduration	variable
