Subject Source Id	Predicate Source Id	object Source Id	relationship type Source Id
DOID_13250	subClassOf	EUPATH_0000309	
ENVO_00003064	subClassOf	EUPATH_0000302	
EUPATH_0000002	subClassOf	EUPATH_0000301	
EUPATH_0000003	subClassOf	EUPATH_0000303	
EUPATH_0000006	subClassOf	EUPATH_0000303	
EUPATH_0000009	subClassOf	EUPATH_0000303	
EUPATH_0000014	subClassOf	EUPATH_0000301	
EUPATH_0000015	subClassOf	EUPATH_0000303	
EUPATH_0000018	subClassOf	EUPATH_0000303	
EUPATH_0000019	subClassOf	EUPATH_0000304	
EUPATH_0000023	subClassOf	EUPATH_0000302	
EUPATH_0000025	subClassOf	EUPATH_0000303	
EUPATH_0000026	subClassOf	EUPATH_0000304	
EUPATH_0000027	subClassOf	EUPATH_0000304	
EUPATH_0000028	subClassOf	EUPATH_0000304	
EUPATH_0000029	subClassOf	EUPATH_0000304	
EUPATH_0000032	subClassOf	EUPATH_0000307	
EUPATH_0000033	subClassOf	EUPATH_0000306	
EUPATH_0000034	subClassOf	EUPATH_0000306	
EUPATH_0000035	subClassOf	EUPATH_0000306	
EUPATH_0000036	subClassOf	EUPATH_0000316	
EUPATH_0000038	subClassOf	EUPATH_0000316	
EUPATH_0000040	subClassOf	EUPATH_0000316	
EUPATH_0000046	subClassOf	EUPATH_0000316	
EUPATH_0000047	subClassOf	OGMS_0000018	
EUPATH_0000048	subClassOf	OGMS_0000018	
EUPATH_0000054	subClassOf	GAZ_00000448	
EUPATH_0000057	subClassOf	EUPATH_0000328	
EUPATH_0000058	subClassOf	EUPATH_0000057	
EUPATH_0000059	subClassOf	EUPATH_0000057	
EUPATH_0000089	subClassOf	OGMS_0000073	
EUPATH_0000090	subClassOf	OGMS_0000073	
EUPATH_0000091	subClassOf	EUPATH_0000310	
EUPATH_0000092	subClassOf	OGMS_0000018	
EUPATH_0000093	subClassOf	http://www.w3.org/2002/07/owl#Thing	
EUPATH_0000094	subClassOf	EUPATH_0000307	
EUPATH_0000096	subClassOf	http://www.w3.org/2002/07/owl#Thing	
EUPATH_0000097	subClassOf	EUPATH_0000309	
EUPATH_0000100	subClassOf	EUPATH_0000309	
EUPATH_0000110	subClassOf	OGMS_0000083	
EUPATH_0000113	subClassOf	EUPATH_0000310	
EUPATH_0000114	subClassOf	EUPATH_0000305	
EUPATH_0000115	subClassOf	EUPATH_0000305	
EUPATH_0000116	subClassOf	EUPATH_0000312	
EUPATH_0000117	subClassOf	EUPATH_0000326	
EUPATH_0000118	subClassOf	EUPATH_0000326	
EUPATH_0000119	subClassOf	EUPATH_0000326	
EUPATH_0000120	subClassOf	EUPATH_0000307	
EUPATH_0000121	subClassOf	EUPATH_0000305	
EUPATH_0000122	subClassOf	EUPATH_0000305	
EUPATH_0000123	subClassOf	EUPATH_0000305	
EUPATH_0000134	subClassOf	EUPATH_0000312	
EUPATH_0000135	subClassOf	EUPATH_0000313	
EUPATH_0000136	subClassOf	EUPATH_0000322	
EUPATH_0000137	subClassOf	EUPATH_0000323	
EUPATH_0000138	subClassOf	EUPATH_0000307	
EUPATH_0000139	subClassOf	EUPATH_0000305	
EUPATH_0000140	subClassOf	EUPATH_0000305	
EUPATH_0000141	subClassOf	EUPATH_0000305	
EUPATH_0000143	subClassOf	EUPATH_0000301	
EUPATH_0000144	subClassOf	EUPATH_0000304	
EUPATH_0000150	subClassOf	EUPATH_0000307	
EUPATH_0000151	subClassOf	EUPATH_0000307	
EUPATH_0000152	subClassOf	EUPATH_0000307	
EUPATH_0000154	subClassOf	EUPATH_0000309	
EUPATH_0000155	subClassOf	EUPATH_0000309	
EUPATH_0000156	subClassOf	EUPATH_0000309	
EUPATH_0000157	subClassOf	EUPATH_0000309	
EUPATH_0000158	subClassOf	EUPATH_0000309	
EUPATH_0000159	subClassOf	EUPATH_0000309	
EUPATH_0000160	subClassOf	EUPATH_0000309	
EUPATH_0000161	subClassOf	EUPATH_0000309	
EUPATH_0000162	subClassOf	EUPATH_0000309	
EUPATH_0000163	subClassOf	EUPATH_0000309	
