Term Ontology ID	Display Label	Term Parent Ontology ID	Term Parent display Label	Data Dictionary Label (en)	Column Name (en)	Term Type	Data Dictionary ID	PRISM Preferred Label (en)	Prism Description	
				EUPATH_0000267	eupath/icemr.owl#column_name	EUPATH_0000271	eupath/icemr.owl#prism_id	EUPATH_0000268	EUPATH_0000270	
http://purl.obolibrary.org/obo/EUPATH_0000305	Aggregated Visit Details	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	Aggregated Visit Details		category	PRISM_0000001	Aggregated Visit Details		
http://purl.obolibrary.org/obo/EUPATH_0000312	Aggregated Entomological Measurement	http://purl.obolibrary.org/obo/EUPATH_0000327	Entomological Measurements	Aggregated Entomological Measurement		category	PRISM_0000002	Aggregated Entomological Measurement		
http://purl.obolibrary.org/obo/EUPATH_0000322	Anopheles funestus	http://purl.obolibrary.org/obo/EUPATH_0000313	Individual Entomogical Measurement	Anopheles funestus		category	PRISM_0000003	Anopheles funestus		
http://purl.obolibrary.org/obo/EUPATH_0000323	Anopheles gambiae sl	http://purl.obolibrary.org/obo/EUPATH_0000313	Individual Entomogical Measurement	Anopheles gambiae sl		category	PRISM_0000004	Anopheles gambiae sl		
http://purl.obolibrary.org/obo/OGMS_0000073	Diagnosis	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	Diagnosis		category	PRISM_0000005	Diagnosis		
http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	http://www.w3.org/2002/07/owl#Thing	Thing	Dwelling		category	PRISM_0000006	Dwelling		
http://purl.obolibrary.org/obo/EUPATH_0000301	Dwelling Summary	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	Dwelling Summary		category	PRISM_0000007	Dwelling Summary		
http://purl.obolibrary.org/obo/EUPATH_0000327	Entomological Measurements	http://www.w3.org/2002/07/owl#Thing	Thing	Entomological Measurements		category	PRISM_0000008	Entomological Measurements		
http://purl.obolibrary.org/obo/EUPATH_0000302	Facilities	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	Facilities		category	PRISM_0000009	Facilities		
http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	http://www.w3.org/2002/07/owl#Thing	Thing	Geographic location		category	PRISM_0000010	geographic location		
http://purl.obolibrary.org/obo/EUPATH_0000308	Hospitalization	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	Hospitalization		category	PRISM_0000011	hospitalization		
http://purl.obolibrary.org/obo/EUPATH_0000313	Individual Entomogical Measurement	http://purl.obolibrary.org/obo/EUPATH_0000327	Entomological Measurements	Individual Entomogical Measurement		category	PRISM_0000012	individual Entomogical Measurement		
http://purl.obolibrary.org/obo/OGMS_0000018	Laboratory Findings	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	Laboratory Findings		category	PRISM_0000013	Laboratory Findings		
http://purl.obolibrary.org/obo/EUPATH_0000316	Malaria severity and basis	http://purl.obolibrary.org/obo/OGMS_0000073	Diagnosis	Malaria severity and basis		category	PRISM_0000014	Malaria severity and basis		
http://purl.obolibrary.org/obo/EUPATH_0000057	Medication	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	medcode		category	PRISM_0000015	Medication		
http://purl.obolibrary.org/obo/EUPATH_0000324	Mosquito Parity	http://purl.obolibrary.org/obo/EUPATH_0000313	Individual Entomogical Measurement	Mosquito Parity		category	PRISM_0000016	Mosquito Parity		
http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	http://www.w3.org/2002/07/owl#Thing	Thing	Participant		category	PRISM_0000017	Participant		
http://purl.obolibrary.org/obo/EUPATH_0000306	Participant Genotype	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	Participant Genotype		category	PRISM_0000018	Participant Genotype		
