Isolate host	Isolate host category	Mapped Ontology Term IRI	Mapped Ontology Term Label
alpaca (Lama pacos)	alpaca	http://purl.obolibrary.org/obo/NCBITaxon_30538	Vicugna pacos
Vicugna pacos	alpaca	http://purl.obolibrary.org/obo/NCBITaxon_30538	Vicugna pacos
Vicugna pacos; age: adult; apparently healthy female	alpaca	http://purl.obolibrary.org/obo/NCBITaxon_30538	Vicugna pacos
Vicugna pacos; age: neonate; apparently healthy female	alpaca	http://purl.obolibrary.org/obo/NCBITaxon_30538	Vicugna pacos
Vicugna pacos; age: neonate; apparently healthy male	alpaca	http://purl.obolibrary.org/obo/NCBITaxon_30538	Vicugna pacos
Vicugna pacos; age: neonate; sick female	alpaca	http://purl.obolibrary.org/obo/NCBITaxon_30538	Vicugna pacos
Vicugna pacos; age: neonate; sick male	alpaca	http://purl.obolibrary.org/obo/NCBITaxon_30538	Vicugna pacos
Haemadipsa zeylanica	Annelids	http://purl.obolibrary.org/obo/NCBITaxon_73399	Haemadipsa zeylanica
Leiobdella jawarerensis	Annelids	http://purl.obolibrary.org/obo/NCBITaxon_933831	Leiobdella
Micobdella sp.	Annelids		
Solenopsis cf. geminata	ant	http://purl.obolibrary.org/obo/NCBITaxon_121131	Solenopsis geminata
Solenopsis geminata	ant	http://purl.obolibrary.org/obo/NCBITaxon_121131	Solenopsis geminata
Solenopsis geminata X S. xyloni hybrid	ant	http://purl.obolibrary.org/obo/NCBITaxon_121131	Solenopsis geminata
Solenopsis invicta	ant	http://purl.obolibrary.org/obo/NCBITaxon_13686	Solenopsis invicta
Boselaphus tragocamelus (Nilgai)	antelope	http://purl.obolibrary.org/obo/NCBITaxon_9917	Boselaphus tragocamelus
Cephalophus monticola	antelope	http://purl.obolibrary.org/obo/NCBITaxon_907742	Philantomba monticola
Damaliscus lunatus	antelope	http://purl.obolibrary.org/obo/NCBITaxon_9929	Damaliscus lunatus
Hippotragus equinus	antelope	http://purl.obolibrary.org/obo/NCBITaxon_37186	Hippotragus equinus
