Isolate location	Isolate location category	Mapped Ontology Term IRI	Mapped Ontology Term Label
Mexico: Union Roja	Mexico	http://purl.obolibrary.org/obo/GAZ_00002852	Mexico
Mexico: Francisco I. Madero	Mexico	http://purl.obolibrary.org/obo/GAZ_00002852	Mexico
Mexico: La Concordia	Mexico	http://purl.obolibrary.org/obo/GAZ_00002852	Mexico
Indonesia: Bali, Flores	Indonesia	http://purl.obolibrary.org/obo/GAZ_00003727	Indonesia
China: Hainan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
Zimbabwe	Zimbabwe	http://purl.obolibrary.org/obo/GAZ_00001106	Zimbabwe
Brazil: Western Amazon Region	Brazil	http://purl.obolibrary.org/obo/GAZ_00002828	Brazil
India: Orissa	India	http://purl.obolibrary.org/obo/GAZ_00002839	India
India: Dadri	India	http://purl.obolibrary.org/obo/GAZ_00002839	India
Iran: Sistan and Baluchistan Province	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Iran: Sistan and Baluchistan	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
India: Jabalpur	India	http://purl.obolibrary.org/obo/GAZ_00002839	India
China: Hainan Province	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
Kenya: Asembo Bay	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Iran:Hormozgan	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Iran: Pars-Abad district, Ardebil province	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Iran: Fereydoonkenar district, Mazandaran province	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
India: Haryana	India	http://purl.obolibrary.org/obo/GAZ_00002839	India
Thailand: Tak Province, Popphra District	Thailand	http://purl.obolibrary.org/obo/GAZ_00003744	Thailand
India: Darjeeling, West Bengal	India	http://purl.obolibrary.org/obo/GAZ_00002839	India
Gabon: Bakoumba	Gabon	http://purl.obolibrary.org/obo/GAZ_00001092	Gabon
India: Car Nicobar	India	http://purl.obolibrary.org/obo/GAZ_00002839	India
India:Uttaranchal	India	http://purl.obolibrary.org/obo/GAZ_00002839	India
PNG	Papua New Guinea	http://purl.obolibrary.org/obo/GAZ_00003922	Papua New Guinea
other	Unknown		
Mexico: Cd. Tapachula	Mexico	http://purl.obolibrary.org/obo/GAZ_00002852	Mexico
Mexico: 2a. Seccion de Izapa	Mexico	http://purl.obolibrary.org/obo/GAZ_00002852	Mexico
Mexico: Carrillo puerto Norte	Mexico	http://purl.obolibrary.org/obo/GAZ_00002852	Mexico
Mexico: Cacahoatan	Mexico	http://purl.obolibrary.org/obo/GAZ_00002852	Mexico
Mexico: La Toma	Mexico	http://purl.obolibrary.org/obo/GAZ_00002852	Mexico
India: Assam	India	http://purl.obolibrary.org/obo/GAZ_00002839	India
Brazil: Maraba, Para	Brazil	http://purl.obolibrary.org/obo/GAZ_00002828	Brazil
India: Andaman and Nicobar Islands	India	http://purl.obolibrary.org/obo/GAZ_00002839	India
India: Andaman and Nicobar	India	http://purl.obolibrary.org/obo/GAZ_00002839	India
China: Anhui	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
Iran: Southeast	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Indonesia: Maumere, Flores island	Indonesia	http://purl.obolibrary.org/obo/GAZ_00003727	Indonesia
Gabon: Lambarene	Gabon	http://purl.obolibrary.org/obo/GAZ_00001092	Gabon
China: Hainan Island	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
Thailand: Trad Province, Borai District	Thailand	http://purl.obolibrary.org/obo/GAZ_00003744	Thailand
India:New Delhi	India	http://purl.obolibrary.org/obo/GAZ_00002839	India
South Korea:Kyonggi-do	South Korea	http://purl.obolibrary.org/obo/GAZ_00002802	South Korea
Iran: Chabahar, Sistan and Baluchistan	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Malaysia: Penang	Malaysia	http://purl.obolibrary.org/obo/GAZ_00003902	Malaysia
India: Keonjhar, Orissa	India	http://purl.obolibrary.org/obo/GAZ_00002839	India
Iran: Sistan Baluchestan	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
India:Nagaland	India	http://purl.obolibrary.org/obo/GAZ_00002839	India
South Korea:Pajoo	South Korea	http://purl.obolibrary.org/obo/GAZ_00002802	South Korea
Italy:Teverina	Italy	http://purl.obolibrary.org/obo/GAZ_00002650	Italy
Italy:Tuscany	Italy	http://purl.obolibrary.org/obo/GAZ_00002650	Italy
Mexico: Canton San Francisco campamento	Mexico	http://purl.obolibrary.org/obo/GAZ_00002852	Mexico
Mexico: Finca San Antonio Nexapa	Mexico	http://purl.obolibrary.org/obo/GAZ_00002852	Mexico
Mexico: Fraccion La Ceiba	Mexico	http://purl.obolibrary.org/obo/GAZ_00002852	Mexico
Mexico: Rancheria Santa Rita	Mexico	http://purl.obolibrary.org/obo/GAZ_00002852	Mexico
Mexico: Mal Paso	Mexico	http://purl.obolibrary.org/obo/GAZ_00002852	Mexico
Mexico: Nueva Granada	Mexico	http://purl.obolibrary.org/obo/GAZ_00002852	Mexico
