variable	variable2	values	mappedTerm	valueOrder
asc_binary	asc_binary	0	Negative	2
asc_binary	asc_binary	1	Positive	1
country_code	country_code	KEN	Kenya	
country_code	country_code	TAN	Tanzania	
hook_binary	hook_binary	0	Negative	2
hook_binary	hook_binary	1	Positive	1
malaria	malaria	0	Negative	2
malaria	malaria	1	Positive	1
sex	sex	F	Female	
sex	sex	M	Male	
sm_binary	sm_binary	0	Negative	2
sm_binary	sm_binary	1	Positive	1
trich_binary	trich_binary	0	Negative	2
trich_binary	trich_binary	1	Positive	1
study_arm	study_arm	1	Annual community-wide treatment	
study_arm	study_arm	6	School-based treatment	
